Program,Course_Code,Total_no_of_Cheld,Total_absences,first_term,mid_term,final,Total_grade
BBA,ACC 101,42,2,A,B+,A,A
BBA,ACC 101,42,24,C,F,D,C+
BBA,ACC 101,42,0,B-,F,C+,B-
BATHM,ACC 101,42,16,D+,F,D+,B-
BBA,ACC 101,42,0,A,A,A,A
BATHM,ACC 101,42,12,C,F,C,A
BBA,ACC 101,42,5,C+,F,D+,C
BBA,ACC 101,42,1,A,C,B,C
BATHM,ACC 101,42,2,C-,F,C-,C-
BBA,ACC 101,42,0,B+,B,B+,B-
BBA,ACC 101,42,4,C-,F,C-,C+
BBA,ACC 101,42,1,B-,C,B-,C
BBA,ACC 101,42,18,B-,F,F,C-
BBA,ACC 101,42,2,B,B,B,B-
BBA,ACC 101,42,9,B-,B,B,B
BBA,ACC 101,42,0,A,A,A,B
BBA,ACC 101,42,23,B,C+,D,C
BATHM,ACC 101,42,8,D+,F,D+,C-
BBA,ACC 101,42,25,F,F,F,C
BBA,ACC 101,42,2,C,F,D,C
BBA,ACC 101,37,4,B+,D,B,B+
BBA,ACC 101,37,1,B+,F,B-,B+
BBA,ACC 101,37,26,C-,F,F,D+
BBA,ACC 101,37,10,B,F,C-,B
BBA,ACC 101,37,7,B,C-,B-,B-
BATHM,ACC 101,37,11,D+,F,D,D+
BBA,ACC 101,37,25,C,F,F,F
BATHM,ACC 101,37,11,D,F,F,D+
BATHM,ACC 101,37,3,C-,F,C+,A
BATHM,ACC 101,37,30,F,F,F,F
BATHM,ACC 101,37,7,B-,F,B-,B
BBA,ACC 101,37,18,F,F,F,F
BATHM,ACC 101,37,15,F,F,F,D
BATHM,ACC 101,37,6,D,F,F,F
BATHM,ACC 101,37,33,F,F,F,F
BATHM,ACC 101,37,16,C-,F,D,D
BATHM,ACC 101,37,30,F,F,F,F
MBA,ACC 101,34,0,B,C-,B-,B
MBA,ACC 101,34,2,B+,A,A,A
BBA,ACC 201,45,0,B-,A,B+,D+
BBA,ACC 201,45,4,B-,A,B+,D
BBA,ACC 201,45,12,D,B,B-,D
BBA,ACC 201,45,14,D,B+,B-,D+
BBA,ACC 201,45,8,D+,A,B-,D
BBA,ACC 201,45,13,D,A,B-,D
BBA,ACC 201,45,3,C,B-,B+,C-
BATHM,ACC 201,45,24,D,D,D,F
BBA,ACC 201,44,4,B,B,B+,C
BBA,ACC 201,44,1,C,B+,B,C-
BBA,ACC 201,44,4,B-,B-,B+,D+
BBA,ACC 201,44,1,B+,A,A,A
BBA,ACC 201,44,5,A,B+,B+,D
BBA,ACC 201,44,6,B,A,A,C
BBA,ACC 201,44,44,F,F,F,F
BBA,ACC 201,44,0,D+,A,B,D+
BBA,ACC 201,44,8,D,C,B-,D+
BBA,ACC 201,44,2,B-,B,B+,C
BBA,ACC 201,44,4,D+,C,B-,D
BBA,ACC 201,43,0,B+,B-,B+,B+
BBA,ACC 201,43,0,A,B,A,A
BBA,ACC 201,43,8,B,B+,B+,B+
BATHM,ACC 201,43,4,B,B-,B+,B+
BATHM,ACC 201,43,2,B,B-,B,B
BBA,ACC 201,43,10,A,B+,B+,B+
BBA,ACC 201,43,5,A,C-,B,B+
BBA,ACC 201,43,2,A,A,A,B
BBA,ACC 201,43,10,B+,C,B,B
BBA,ACC 201,43,0,B,B-,B+,A
BBA,ACC 201,43,1,B-,B+,B,B
BBA,ACC 201,43,1,A,B-,B+,A
BBA,ACC 201,43,1,B+,A,A,B+
BBA,ACC 201,43,0,A,B+,A,A
BBA,ACC 201,43,1,B+,B+,B+,B+
BATHM,ACC 201,43,6,B-,C-,B,B
BBA,ACC 201,43,19,B+,C+,B,B+
BBA,ACC 201,43,2,B+,B+,A,A
BBA,ACC 201,43,0,A,A,A,A
BATHM,ACC 201,43,3,B+,C+,B,B
BBA,ACC 201,43,1,B,B+,A,A
BBA,ACC 201,43,6,B,B-,B+,A
BBA,ACC 201,43,2,B+,B-,B+,A
BBA,ACC 201,43,1,B-,C,B,B
BBA,ACC 201,43,5,B+,B-,B+,A
BBA,ACC 201,43,6,A,B-,B+,B+
BBA,ACC 201,43,3,B,C+,B,B
BBA,ACC 201,43,2,B+,C-,B,B+
BBA,ACC 201,43,1,B-,B-,B,B
BBA,ACC 201,43,1,B+,B+,B+,B+
BBA,ACC 201,43,24,F,F,F,B-
BBA,ACC 201,43,5,B,C,B,B
BBA,ACC 201,43,1,B-,C-,B-,B
BBA,ACC 201,43,12,B-,C,B-,B-
BATHM,ACC 201,43,14,C+,C,C+,C+
BBA,ACC 300,25,3,B-,C,B-,B-
BBA,ACC 300,25,1,B,C+,B,B-
BBA,ACC 300,25,0,B+,C,B+,B+
BBA,ACC 300,25,1,B+,B-,B+,B-
BBA,ACC 300,25,0,B+,B+,A,B+
BBA,ACC 300,25,0,B-,B-,B-,B-
BATHM,ACC 300,25,2,B,B+,B+,B-
BATHM,ACC 300,25,6,B-,C+,B-,C
BBA,ACC 300,25,3,B-,C-,B-,B-
BBA,ACC 300,25,1,B-,B,B,B-
BBA,ACC 300,25,1,B-,B-,B,B+
BBA,ACC 300,25,5,B-,C-,B-,B-
BBA,ACC 300,20,1,B,C-,B+,C+
BBA,ACC 300,20,1,B-,C-,B-,B
BBA,ACC 300,20,3,B,A,B+,C
BBA,ACC 300,20,3,B,D+,B-,C+
BBA,ACC 300,20,0,A,C+,A,A
BBA,ACC 300,20,1,B+,B-,B,B-
BBA,ACC 300,20,0,B+,C-,B,B
BBA,ACC 300,20,2,B,C-,C+,C-
BBA,ACC 300,20,5,B-,B,B+,B+
BBA,ACC 300,20,8,D,F,F,C-
BBA,ACC 300,20,19,F,F,F,D
BAEcon,ACC 300,20,8,B-,D,C-,B-
BBA,ACC 300,20,11,B-,C-,B-,B-
BBA,ACC 300,20,0,A,A,A,A
BBA,ACC 300,20,2,B+,B-,B+,B+
BBA,ACC 300,20,3,C,F,D,C-
BBA,ACC 300,31,9,B,B-,B-,B
BBA,ACC 300,31,2,B+,A,A,B+
BBA,ACC 300,31,0,A,A,A,A
BBA,ACC 300,31,0,B,A,B-,B
BBA,ACC 300,31,3,A,B+,B+,B
BBA,ACC 300,31,0,B+,B+,A,B
BBA,ACC 300,31,2,C+,B-,B-,C
BBA,ACC 300,31,0,B,C+,B,B-
BBA,ACC 300,31,3,C+,B,B,B-
BBA,ACC 300,31,3,A,A,A,A
BBA,ACC 300,31,5,B-,B,B+,B
BBA,ACC 300,31,1,C+,B+,B+,B
BATHM,ACC 300,31,26,D+,F,F,D
BBA,ACC 300,31,2,B-,B-,B,A
BBA,ACC 300,31,2,B,A,A,A
BBA,ACC 300,31,2,B-,A,B+,B-
BBA,ACC 300,31,4,C+,B-,B-,C
BBA,ACC 300,31,6,D+,C-,C-,D
BBA,ACC 300,31,10,B-,A,B-,B
BBA,ACC 300,31,3,C+,C-,B,B+
BATHM,ACC 300,31,3,D,D+,C-,C
BBA,ACC 300,31,0,B-,C-,B,B
BBA,ACC 300,31,2,A,B-,A,A
BBA,ACC 300,31,5,C-,A,C+,C-
BBA,ACC 300,31,0,B-,A,B,B
BAEcon,ACC 300,31,3,C+,A,B+,B
BAEcon,ACC 300,31,0,B-,A,A,B
BAEcon,ACC 300,31,0,B,A,A,A
BATHM,ACC 300,31,2,B-,B+,B,B
BAEcon,ACC 300,31,1,C+,A,B+,B-
BAEcon,ACC 300,31,1,B-,B,B,B-
BBA,ACC 300,31,1,B,A,B+,B
BBA,ACC 300,31,4,D,B,C-,D+
BBA,ACC 300,31,2,B+,A,B,C
BBA,ACC 300,31,4,C+,A,B+,B+
BBA,ACC 300,31,6,B,B-,B+,A
BAEcon,ACC 300,31,0,B,B-,B,B-
BBA,ACC 300,31,0,B-,B,B+,B+
BBA,ACC 300,31,6,C,C,B,B
BBA,ACC 303,21,2,A,B+,B+,B+
BBA,ACC 303,21,2,A,A,B+,B
BBA,ACC 303,21,0,B-,A,B+,B-
BBA,ACC 303,21,1,A,A,A,B+
BBA,ACC 303,21,0,B-,A,B+,B+
BBA,ACC 303,21,0,B-,A,B+,B+
BBA,ACC 303,21,1,C,A,B-,B-
BBA,ACC 303,21,0,B+,A,B+,B+
BATHM,ACC 303,21,0,A,B+,B+,B-
BATHM,ACC 303,21,5,A,B+,B+,B
BBA,ACC 303,21,2,C,A,B,B
BBA,ACC 303,21,1,B+,B+,B+,B
